,rest_name,rest_type,loc,dine_rating,dine_reviews,delivery_rating,delivery_reviews,cost,cuisine 1,cuisine 2,cuisine 3,cuisine 4,cuisine 5,cuisine 6,cuisine 7,cuisine 8,t1,t2,l1,l2,l3,l4,l5,l6,l7,location
0,"Mix@36  The Westin
                                    ",['Lounge'],"The Westin, Mundhwa",4.2,707.0,3.8,0.0,4300,North Indian,Continental,Asian,Finger Food,,,,,Lounge,,Coctails, Chaat, Beer,,,,, Mundhwa
1,"angan  The Westin
                                    ",['Fine Dining'],"The Westin, Mundhwa",4.1,344.0,3.8,0.0,3500,North Indian,Mughlai,,,,,,,Fine Dining,,Biryani, Veg Platter, Dal Mahani, Butter Chicen, Naan, Paneer Tia, ulfi, Mundhwa
2,"Coriander itchen  Conrad Pune
                                    ",['Fine Dining'],"Conrad Pune, Bund Garden Road",4.5,541.0,3.8,0.0,3200,Mediterranean,Asian,North Indian,,,,,,Fine Dining,,Pasta, Panipuri, Waffles, Pizza, Salad, Chaat, Noodle, Bund Garden Road
3,"The Maret  The Westin
                                    ",['Fine Dining'],"The Westin, Mundhwa",4.0,55.0,3.8,0.0,3200,Asian,European,North Indian,,,,,,Fine Dining,,Vanilla Ice Cream, Chaat, Sushi,,,,, Mundhwa
4,"Vandaag  Vivanta Pune
                                    ","['Pub', 'Casual Dining']","Vivanta Pune, Hinjewadi",3.9,113.0,3.8,0.0,3100,Finger Food,Continental,,,,,,,Pub,Casual Dining,Coctails, Beer, Peri Peri Chicen, Fish, Veg Platter,,, Hinjewadi
5,"Baan Tao  Hyatt Pune
                                    ",['Fine Dining'],"Hyatt Pune, Nagar Road",4.5,739.0,3.8,0.0,3000,Salad,Asian,Malaysian,Vietnamese,Thai,Chinese,,,Fine Dining,,Sushi, Salad, Dumplings, Tom Yum Soup, Dimsum Lunch, Clear Soup, Chicen Dim Sum, Nagar Road
6,"Zeera  Conrad Pune
                                    ",['Fine Dining'],"Conrad Pune, Bund Garden Road",4.1,159.0,3.8,0.0,3000,North Indian,,,,,,,,Fine Dining,,Paan Ice Cream, Biryani, Coffee, Pindi Chole, Tii, Garlic Naan, Thali, Bund Garden Road
7,"oji  Conrad Pune
                                    ",['Fine Dining'],"Conrad Pune, Bund Garden Road",4.1,199.0,3.8,0.0,3000,Thai,Japanese,Chinese,,,,,,Fine Dining,,Sushi, Coctails, Salmon, Chicen Clay Pot, ung Pao Chicen, Moctails, Sashimi, Bund Garden Road
8,"Feast  Sheraton Grand
                                    ",['Fine Dining'],"Sheraton Grand, Bund Garden Road",4.5,577.0,3.8,0.0,3000,European,Asian,North Indian,,,,,,Fine Dining,,Pasta, Salad, Sea Food, Coffee, Paan Ice Cream, Fish, Lamb, Bund Garden Road
9,"Aasmana: The RitzCarlton
                                    ",['Fine Dining'],"Ritz Carlton, Yerwada",3.7,22.0,3.8,0.0,3000,Mughlai,Biryani,ebab,North Indian,,,,,Fine Dining,,,,,,,,, Yerwada
